jcm,organism,meo,label_meo
JCM_10333,Bannoa hahajimensis,MEO_0000379,leaf
JCM_10334,Bannoa hahajimensis,MEO_0000379,leaf
JCM_10381,Corynebacterium coyleae,MEO_0000059,blood
JCM_10384,Corynebacterium mucifaciens,MEO_0000059,blood
JCM_10385,Corynebacterium singulare,MEO_0000173,bodily fluid
JCM_10386,Corynebacterium imitans,MEO_0000497,nasopharynx
JCM_10387,Corynebacterium ulcerans,MEO_0000494,throat
JCM_10481,Cryptococcus aerius,MEO_0000006,air
JCM_10481,Cryptococcus albidus var. aerius,MEO_0000006,air
JCM_10481,Torula aeria,MEO_0000006,air
JCM_10482,Cryptococcus vishniacii,MEO_0000007,soil
JCM_10483,Streptomyces rameus,MEO_0000014,activated sludge
JCM_10484,Streptomyces albus,MEO_0000014,activated sludge
JCM_10530,Bacillus sp.,MEO_0000468,gut
JCM_10531,Bacillus sp.,MEO_0000468,gut
JCM_10533,Staphylococcus sp.,MEO_0000468,gut
JCM_10534,Pseudomonas sp.,MEO_0000468,gut
JCM_10535,Chryseobacterium sp.,MEO_0000468,gut
JCM_10536,Elizabethkingia sp.,MEO_0000468,gut
JCM_10537,Staphylococcus sp.,MEO_0000468,gut
JCM_10538,Streptomyces sp.,MEO_0000468,gut
JCM_10539,Clostridium hylemonae,MEO_0000054,feces
JCM_10539,Clostridium hylemonae,MEO_0000627,feces
JCM_10583,Stilbella thermophila,MEO_0000348,mushroom compost
JCM_10584,Stilbella thermophila,MEO_0000348,mushroom compost
JCM_10585,Mucor genevensis,MEO_0000007,soil
JCM_10633,Filobasidium globisporum,MEO_0000379,leaf
JCM_10635,Natronorubrum bangense,MEO_0000189,saline lake sediment
JCM_10636,Natronorubrum tibetense,MEO_0000189,saline lake sediment
JCM_10638,Pedobacter sp.,MEO_0000740,river water
JCM_10690,Trichosporon guehoae,MEO_0000007,soil
JCM_10691,Trichosporon veenhuisii,MEO_0000054,feces
JCM_10740,Pichia segobiensis,MEO_0000752,larva
JCM_10740,Yamadazyma segobiensis,MEO_0000752,larva
JCM_10741,Pichia spartinae,MEO_0000084,bay
JCM_10741,Yamadazyma spartinae,MEO_0000084,bay
JCM_10742,Pichia stipitis,MEO_0000752,larva
JCM_10742,Yamadazyma stipitis,MEO_0000752,larva
JCM_10790,Collinsella aerofaciens,MEO_0000054,feces
JCM_10790,Collinsella aerofaciens,MEO_0000627,feces
JCM_10791,Collinsella aerofaciens,MEO_0000054,feces
JCM_10791,Collinsella aerofaciens,MEO_0000627,feces
JCM_10792,Collinsella aerofaciens,MEO_0000054,feces
JCM_10792,Collinsella aerofaciens,MEO_0000627,feces
JCM_10793,Collinsella aerofaciens,MEO_0000054,feces
JCM_10793,Collinsella aerofaciens,MEO_0000627,feces
JCM_10794,Collinsella aerofaciens,MEO_0000054,feces
JCM_10794,Collinsella aerofaciens,MEO_0000627,feces
JCM_10795,Collinsella aerofaciens,MEO_0000054,feces
JCM_10795,Collinsella aerofaciens,MEO_0000627,feces
JCM_10796,Collinsella aerofaciens,MEO_0000054,feces
JCM_10796,Collinsella aerofaciens,MEO_0000627,feces
JCM_10797,Collinsella aerofaciens,MEO_0000054,feces
JCM_10797,Collinsella aerofaciens,MEO_0000627,feces
JCM_10798,Collinsella aerofaciens,MEO_0000054,feces
JCM_10798,Collinsella aerofaciens,MEO_0000627,feces
JCM_10799,Collinsella aerofaciens,MEO_0000054,feces
JCM_10799,Collinsella aerofaciens,MEO_0000627,feces
JCM_1081,Lactobacillus fermentum,MEO_0000484,intestine
JCM_1081,Lactobacillus reuteri,MEO_0000484,intestine
JCM_10840,Kockovaella cucphuonginensis,MEO_0000379,leaf
JCM_10841,Kockovaella vietnamensis,MEO_0000379,leaf
JCM_10842,Kockovaella calophylli,MEO_0000379,leaf
JCM_10843,Sporobolomyces sp.,MEO_0000379,leaf
JCM_10844,Sporobolomyces sp.,MEO_0000379,leaf
JCM_10845,Sporobolomyces sp.,MEO_0000379,leaf
JCM_10846,Sporobolomyces sp.,MEO_0000379,leaf
JCM_10847,Sporobolomyces sp.,MEO_0000379,leaf
JCM_10891,Methylobacterium rhodesianum,MEO_0000067,man-made structure
JCM_10892,Methylobacterium zatmanii,MEO_0000067,man-made structure
JCM_10893,Methylobacterium thiocyanatum,MEO_0000055,rhizosphere
JCM_10894,Rhodotorula glutinis,MEO_0000724,deep sea
JCM_10895,Rhodotorula glutinis,MEO_0000724,deep sea
JCM_10895,Rhodosporidium diobovatum,MEO_0000724,deep sea
JCM_10896,Rhodotorula glutinis,MEO_0000724,deep sea
JCM_10896,Rhodosporidium diobovatum,MEO_0000724,deep sea
JCM_10897,Rhodotorula glutinis,MEO_0000724,deep sea
JCM_10897,Rhodosporidium diobovatum,MEO_0000724,deep sea
JCM_10898,Rhodotorula minuta,MEO_0000724,deep sea
JCM_10899,Rhodotorula minuta,MEO_0000724,deep sea
JCM_10899,Rhodotorula calyptogenae,MEO_0000724,deep sea
JCM_10940,Rhodococcus pyridinivorans,MEO_0000732,industrial wastewater
JCM_10941,Thermus thermophilus,MEO_0000741,spring water
JCM_10942,Haloarcula sp.,MEO_0000024,lake
JCM_10943,Haloarcula sp.,MEO_0000024,lake
JCM_10946,Bacillus okuhidensis,MEO_0000736,hot spring water
JCM_10946,Bacillus halodurans,MEO_0000736,hot spring water
JCM_10946,Alkalihalobacillus okuhidensis,MEO_0000736,hot spring water
JCM_10946,Alkalihalobacillus halodurans,MEO_0000736,hot spring water
JCM_10947,Acetobacter tropicalis,MEO_0000719,non-fermented plant derived beverage
JCM_10949,Penicillium sp.,MEO_0000007,soil
JCM_10991,Lactobacillus equi,MEO_0000054,feces
JCM_10991,Lactobacillus equi,MEO_0000627,feces
JCM_10992,Lactobacillus equi,MEO_0000054,feces
JCM_10992,Lactobacillus equi,MEO_0000627,feces
JCM_10993,Lactobacillus equi,MEO_0000054,feces
JCM_10993,Lactobacillus equi,MEO_0000627,feces
JCM_10994,Candida thermophila,MEO_0000127,clay soil
JCM_10998,Kockovaella barringtoniae,MEO_0000379,leaf
JCM_10999,Kockovaella sacchari,MEO_0000379,leaf
JCM_11041,Leuconostoc mesenteroides subsp. mesenteroides,MEO_0000719,non-fermented plant derived beverage
JCM_11042,Leuconostoc mesenteroides subsp. mesenteroides,MEO_0000719,non-fermented plant derived beverage
JCM_11044,Leuconostoc mesenteroides subsp. mesenteroides,MEO_0000059,blood
JCM_11046,Lactobacillus gasseri,MEO_0000054,feces
JCM_11046,Lactobacillus gasseri,MEO_0000627,feces
JCM_11047,Lactobacillus acidophilus,MEO_0000054,feces
JCM_11047,Lactobacillus acidophilus,MEO_0000627,feces
JCM_11048,Haloarcula quadrata,MEO_0000220,brine
JCM_11049,Halorhabdus utahensis,MEO_0000189,saline lake sediment
JCM_11092,Termitomyces sp.,MEO_0000755,nest
JCM_11093,Termitomyces sp.,MEO_0000755,nest
JCM_11094,Termitomyces sp.,MEO_0000755,nest
JCM_11095,Termitomyces sp.,MEO_0000755,nest
JCM_11096,Termitomyces sp.,MEO_0000755,nest
JCM_11097,Termitomyces sp.,MEO_0000755,nest
JCM_11143,Bullera taiwanensis,MEO_0000379,leaf
JCM_11199,Jeotgalicoccus psychrophilus,MEO_0000271,jeotgal
JCM_11251,Rhodosporidium azoricum,MEO_0000007,soil
JCM_1130,Lactobacillus gasseri,MEO_0000054,feces
JCM_1130,Lactobacillus gasseri,MEO_0000627,feces
JCM_11300,Amycolatopsis albidoflavus,MEO_0000007,soil
JCM_11301,Kozakia baliensis,MEO_0000307,sugar
JCM_1131,Lactobacillus gasseri,MEO_0000484,intestine
JCM_1132,Lactobacillus acidophilus,MEO_0000054,feces
JCM_1132,Lactobacillus acidophilus,MEO_0000627,feces
JCM_11401,Pichia galeiformis,MEO_0000054,feces
JCM_11401,Pichia galeiformis,MEO_0000627,feces
JCM_11402,Pichia japonica,MEO_0000400,frass
JCM_11404,Pichia kodamae,MEO_0000752,larva
JCM_11406,Hanseniaspora pijperi,MEO_0000222,buttermilk
JCM_11406,Pichia pijperi,MEO_0000222,buttermilk
JCM_11407,Brettanomyces bruxellensis,MEO_0000274,lambic beer
JCM_11408,Schizoblastosporion starkeyi-henricii,MEO_0000204,peat soil
JCM_11409,Schizoblastosporion starkeyi-henricii,MEO_0000007,soil
JCM_11450,Botryosporium diffusum,MEO_0000379,leaf
JCM_11453,Wallemia sebi,MEO_0000586,skin
JCM_11454,Sphingomonas chungbukensis,MEO_0000683,contaminated sediment
JCM_11455,Sphingomonas aquatilis,MEO_0000036,water
JCM_11456,Sphingomonas koreensis,MEO_0000036,water
JCM_11457,Sphingomonas taejonensis,MEO_0000036,water
JCM_11502,Fusarium oxysporum,MEO_0000007,soil
JCM_11503,Conidiobolus coronatus,MEO_0000007,soil
JCM_11504,Allomyces sp.,MEO_0000336,paddy field
JCM_11505,Rhizophydium sp.,MEO_0000651,garden soil
JCM_11506,Wallemia sebi,MEO_0000426,non-fermented food product
JCM_11507,Wallemia sebi,MEO_0000426,non-fermented food product
JCM_11508,Nocardia caishijiensis,MEO_0000007,soil
JCM_11551,Lactobacillus cypricasei,MEO_0000267,halloumi cheese
JCM_11551,Lactobacillus acidipiscis,MEO_0000267,halloumi cheese
JCM_11552,Lactobacillus psittaci,MEO_0000006,air
JCM_11552,Lactobacillus psittaci,MEO_0000506,lung
JCM_11554,Rhodococcus sp.,MEO_0000007,soil
JCM_11555,Terrabacter sp.,MEO_0000007,soil
JCM_11556,Terrabacter sp.,MEO_0000007,soil
JCM_11557,Enterococcus villorum,MEO_0000484,intestine
JCM_11602,Thermus brockianus,MEO_0000097,national park
JCM_11603,Thermus oshimai,MEO_0000029,hot spring
JCM_11604,Caldisphaera lagunensis,MEO_0000729,acid hot spring
JCM_11605,Caldisphaera lagunensis,MEO_0000729,acid hot spring
JCM_11606,Arthrobacter pascens,MEO_0000007,soil
JCM_11607,Brachybacterium alimentarium,MEO_0000227,cheese product
JCM_11608,Micrococcus conglomeratus,MEO_0000356,oil brine
JCM_11609,Brachybacterium faecium,MEO_0000346,litter
JCM_11711,Longispora albida,MEO_0000007,soil
JCM_11760,Nocardiopsis halotolerans,MEO_0000671,saline marsh
JCM_11761,Saccharomonospora halophila,MEO_0000669,wetland soil
JCM_11762,Gordonia desulfuricans,MEO_0000007,soil
JCM_11763,Nocardia cyriacigeorgici,MEO_0000422,excrement and secretion
JCM_11763,Nocardia cyriacigeorgici,MEO_0000505,set of bronchi
JCM_11765,Corynebacterium appendicis,MEO_0000296,sake starter
JCM_11767,Thermobifida cellulolytica,MEO_0000342,compost
JCM_1181,Lactobacillus casei subsp. pseudoplantarum,MEO_0000423,small artifact
JCM_1181,Lactobacillus paracasei subsp. paracasei,MEO_0000423,small artifact
JCM_11810,Marinibacillus campisalis,MEO_0000339,solar saltern
JCM_11811,Muricauda aquimarina,MEO_0000351,beach
JCM_11812,Muricauda flavescens,MEO_0000351,beach
JCM_11813,Nocardioides aquiterrae,MEO_0000366,ground water
JCM_11814,Shewanella gaetbuli,MEO_0000745,tidal flat
JCM_11815,Alysidium resinae var. microsporum,MEO_0000423,small artifact
JCM_11816,Thermococcus sp.,MEO_0000748,sea floor
JCM_11817,Alicyclobacillus sendaiensis,MEO_0000153,park
JCM_11818,Bullera arundinariae,MEO_0000379,leaf
JCM_1182,Lactobacillus ruminis,MEO_0000046,rumen
JCM_1183,Lactobacillus sp.,MEO_0000021,wine
JCM_1183,Lactobacillus brevis subsp. otakiensis,MEO_0000021,wine
JCM_1185,Lactobacillus crispatus,MEO_0000600,eye
JCM_1186,Lactobacillus sharpeae,MEO_0000012,sewage
JCM_1187,Lactobacillus agilis,MEO_0000012,sewage
JCM_1188,Lactobacillus maltaromicus,MEO_0000019,milk for drinking and eating
JCM_11963,Malassezia japonica,MEO_0000586,skin
JCM_11964,Malassezia japonica,MEO_0000586,skin
JCM_11965,Cryptococcus tepidarius,MEO_0000740,river water
JCM_11966,Cryptococcus tepidarius,MEO_0000740,river water
JCM_11969,Lactobacillus paracollinoides,MEO_0000015,brewery
JCM_12010,Hypocrea lutea,MEO_0000694,coast
JCM_12011,Hypocrea lutea,MEO_0000694,coast
JCM_12012,Hypocrea lutea,MEO_0000694,coast
JCM_12013,Hypocrea lutea,MEO_0000694,coast
JCM_12014,Hypocrea lutea,MEO_0000694,coast
JCM_12015,Hypocrea lutea,MEO_0000694,coast
JCM_12016,Hypocrea lutea,MEO_0000694,coast
JCM_12017,Hypocrea lutea,MEO_0000694,coast
JCM_12018,Hypocrea mikurajimensis,MEO_0000759,branch
JCM_12060,Hypocrea schweinitzii,MEO_0000082,river
JCM_12061,Hypocrea schweinitzii,MEO_0000700,mountain
JCM_12111,Anoxybacillus voinovskiensis,MEO_0000741,spring water
JCM_12112,Bacillus asahii,MEO_0000007,soil
JCM_12113,Agromyces aurantiacus,MEO_0000126,forest soil
JCM_12114,Streptomyces scopiformis,MEO_0000700,mountain
JCM_12115,Streptomyces yunnanensis,MEO_0000007,soil
JCM_12116,Saccharibacter floricola,MEO_0000762,pollen
JCM_12117,Sulfurovum lithotrophicum,MEO_0000698,hydrothermal field
JCM_12118,Nocardia araoensis,MEO_0000403,sputum
JCM_12119,Nocardia pneumoniae,MEO_0000403,sputum
JCM_12168,Bacillus indicus,MEO_0000734,contaminated water
JCM_12270,Corynebacterium sphenisci,MEO_0000802,cloaca
JCM_12271,Corynebacterium spheniscorum,MEO_0000802,cloaca
JCM_12272,Mycobacterium alvei,MEO_0000741,spring water
JCM_12273,Mycobacterium brumae,MEO_0000741,spring water
JCM_12277,Streptacidiphilus jiangxiensis,MEO_0000658,rhizosphere soil
JCM_1230,Lactobacillus salivarius,MEO_0000484,intestine
JCM_1230,Lactobacillus salivarius subsp. salicinius,MEO_0000484,intestine
JCM_1231,Lactobacillus salivarius,MEO_0000060,saliva
JCM_1232,Enterobacter cloacae subsp. cloacae,MEO_0000402,spinal fluid
JCM_12320,Hongiella marincola,MEO_0000351,beach
JCM_12323,Marinobacter flavimaris,MEO_0000041,marine water
JCM_12324,Marinobacter daepoensis,MEO_0000041,marine water
JCM_12325,Deleya marina,MEO_0000067,man-made structure
JCM_12325,Halomonas marina,MEO_0000067,man-made structure
JCM_12325,Pseudomonas marina,MEO_0000067,man-made structure
JCM_12326,Pelotomaculum sp.,MEO_0000338,rice field
JCM_12327,Haloferax sulfurifontis,MEO_0000137,microbial mat
JCM_1233,Enterobacter sakazakii,MEO_0000494,throat
JCM_1234,Enterobacter gergoviae,MEO_0000063,urine
JCM_1235,Aerobacter aerogenes,MEO_0000403,sputum
JCM_1235,Enterobacter aerogenes,MEO_0000403,sputum
JCM_1236,Chromobacterium typhiflavum,MEO_0000053,wound
JCM_1236,Enterobacter agglomerans,MEO_0000053,wound
JCM_1236,Chromobacterium typhiflavum,MEO_0000559,knee
JCM_1236,Enterobacter agglomerans,MEO_0000559,knee
JCM_1237,Enterobacter amnigenus,MEO_0000007,soil
JCM_12370,Corynebacterium suicordis,MEO_0000791,heart
JCM_12371,Luteococcus sanguinis,MEO_0000059,blood
JCM_12372,Microbacterium paraoxydans,MEO_0000059,blood
JCM_12373,Mycobacterium celatum,MEO_0000403,sputum
JCM_12374,Mycobacterium holsaticum,MEO_0000403,sputum
JCM_12375,Mycobacterium mageritense,MEO_0000403,sputum
JCM_12376,Mycobacterium shimoidei,MEO_0000403,sputum
JCM_1238,Enterobacter intermedium,MEO_0000117,surface water
JCM_1238,Enterobacter intermedius,MEO_0000117,surface water
JCM_1239,Serratia marcescens subsp. marcescens,MEO_0000044,pond water
JCM_12420,Lebetimonas acidiphila,MEO_0000144,hydrothermal fluid
JCM_12421,Thiobacter subterraneus,MEO_0000699,mine
JCM_12422,Sporobolomyces fushanensis,MEO_0000379,leaf
JCM_12424,Lactobacillus sanfranciscensis,MEO_0000301,sourdough
JCM_12425,Lactobacillus sanfranciscensis,MEO_0000301,sourdough
JCM_12426,Lactobacillus sanfranciscensis,MEO_0000301,sourdough
JCM_12427,Lactobacillus sanfranciscensis,MEO_0000301,sourdough
JCM_12428,Lactobacillus sanfranciscensis,MEO_0000301,sourdough
JCM_12429,Lactobacillus sanfranciscensis,MEO_0000301,sourdough
JCM_12472,Actinoalloteichus spitiensis,MEO_0000692,cold desert
JCM_12474,Candida nakhonratchasimensis,MEO_0000400,frass
JCM_12475,Candida pattaniensis,MEO_0000400,frass
JCM_12476,Candida easanensis,MEO_0000400,frass
JCM_12477,Candida easanensis,MEO_0000400,frass
JCM_12478,Trichosporon siamense,MEO_0000400,frass
JCM_12479,Loktanella hongkongensis,MEO_0000116,biofilm
JCM_12520,Paenibacillus hodogayensis,MEO_0000200,humus
JCM_12521,Marinobacter maritimus,MEO_0000122,coastal water
JCM_12522,Marinomonas polaris,MEO_0000122,coastal water
JCM_12523,Bacillus alveayuensis,MEO_0000724,deep sea
JCM_12524,Shewanella donghaensis,MEO_0000724,deep sea
JCM_12526,Idiomarina seosinensis,MEO_0000743,hypersaline water
JCM_12527,Aspergillus fumigatus,MEO_0000007,soil
JCM_12528,Bacteroides coagulans,MEO_0000054,feces
JCM_12528,Bacteroides coagulans,MEO_0000627,feces
JCM_12529,Lactobacillus amylolyticus,MEO_0000015,brewery
JCM_12576,Pichia koratensis,MEO_0000400,frass
JCM_12577,Anaerolinea thermolimosa,MEO_0000705,granular sludge
JCM_12578,Levilinea saccharolytica,MEO_0000705,granular sludge
JCM_12579,Leptolinea tardivitalis,MEO_0000705,granular sludge
JCM_12627,Cystobacter minus,MEO_0000007,soil
JCM_12628,Cystobacter velatus,MEO_0000062,wood
JCM_12629,Cystobacter violaceus,MEO_0000007,soil
JCM_12629,Polyangium violaceum,MEO_0000007,soil
JCM_12681,Streptomyces mexicanus,MEO_0000198,field soil
JCM_12682,Streptomyces speibonae,MEO_0000007,soil
JCM_12683,Amycolatopsis keratiniphila,MEO_0000669,wetland soil
JCM_12684,Corynebacterium nigricans,MEO_0000079,urogenital tract
JCM_12685,Crossiella equi,MEO_0000530,placenta
JCM_12731,Fennellia nivea,MEO_0000007,soil
JCM_12733,Aspergillus ornatus,MEO_0000126,forest soil
JCM_12733,Sclerocleista ornata,MEO_0000126,forest soil
JCM_12735,Aspergillus oryzae,MEO_0000062,wood
JCM_12782,Yarrowia yakushimensis,MEO_0000468,gut
JCM_12784,Rhizopus azygosporus,MEO_0000586,skin
JCM_12785,Rhizopus oryzae,MEO_0000550,arm
JCM_12786,Rhizopus oryzae,MEO_0000586,skin
JCM_12788,Byssochlamys nivea,MEO_0000007,soil
JCM_1281,Vibrio fluvialis,MEO_0000054,feces
JCM_1281,Vibrio fluvialis,MEO_0000627,feces
JCM_1283,Vibrio hollisae,MEO_0000054,feces
JCM_1283,Vibrio hollisae,MEO_0000627,feces
JCM_12830,Denitratisoma oestradiolicum,MEO_0000118,wastewater treatment plant
JCM_12833,Micromonospora pattaloongensis,MEO_0000126,forest soil
JCM_12834,Patulibacter minatonensis,MEO_0000007,soil
JCM_12835,Oryzihumus leptocrescens,MEO_0000336,paddy field
JCM_12836,Seimatosporium botan,MEO_0000390,stem
JCM_12837,Discostroma botan,MEO_0000390,stem
JCM_12838,Synnemapestaloides rhododendri,MEO_0000767,twig
JCM_12839,Corynespora sp.,MEO_0000767,twig
JCM_1284,Vibrio hollisae,MEO_0000054,feces
JCM_1284,Vibrio hollisae,MEO_0000627,feces
JCM_1285,Vibrio hollisae,MEO_0000054,feces
JCM_1285,Vibrio hollisae,MEO_0000627,feces
JCM_1286,Vibrio hollisae,MEO_0000054,feces
JCM_1286,Vibrio hollisae,MEO_0000627,feces
JCM_12880,Bullera koratensis,MEO_0000379,leaf
JCM_12881,Bullera koratensis,MEO_0000379,leaf
JCM_12882,Bullera koratensis,MEO_0000379,leaf
JCM_12883,Bullera koratensis,MEO_0000379,leaf
JCM_12886,Nonlabens tegetincola,MEO_0000137,microbial mat
JCM_12887,Janibacter brevis,MEO_0000734,contaminated water
JCM_12888,Leucobacter albus,MEO_0000007,soil
JCM_12889,Haloterrigena saccharevitans,MEO_0000177,saline lake
JCM_12931,Gaetbulibacter saemankumensis,MEO_0000691,tidal flat sediment
JCM_12932,Rubrobacter taiwanensis,MEO_0000029,hot spring
JCM_12985,Actinobacillus actinomycetemcomitans,MEO_0000059,blood
JCM_12985,Haemophilus actinomycetemcomitans,MEO_0000059,blood
JCM_12986,Bacteroides eggerthii,MEO_0000054,feces
JCM_12986,Bacteroides eggerthii,MEO_0000627,feces
JCM_12987,Bacteroides nordii,MEO_0000173,bodily fluid
JCM_12987,Bacteroides nordii,MEO_0000456,peritoneum
JCM_12988,Bacteroides salyersae,MEO_0000461,appendix
JCM_12989,Campylobacter showae,MEO_0000479,gingiva
JCM_13030,Methanococcus maripaludis,MEO_0000082,river
JCM_13032,Nocardia kruczakiae,MEO_0000506,lung
JCM_13034,Lutibacter litoralis,MEO_0000691,tidal flat sediment
JCM_13035,Jannaschia seosinensis,MEO_0000743,hypersaline water
JCM_13036,Citreimonas salinaria,MEO_0000743,hypersaline water
JCM_13037,Maribius salinus,MEO_0000743,hypersaline water
JCM_13038,Shimia marina,MEO_0000116,biofilm
JCM_13039,Tenacibaculum litoreum,MEO_0000691,tidal flat sediment
JCM_13137,Phaeosphaeria elongata,MEO_0000753,culm
JCM_13192,Gramella portivictoriae,MEO_0000066,sediment
JCM_13193,Clostridium ganghwense,MEO_0000691,tidal flat sediment
JCM_13194,Clostridium aestuarii,MEO_0000745,tidal flat
JCM_13240,Micromonospora mirobrigensis,MEO_0000699,mine
JCM_13241,Saccharomonospora paurometabolica,MEO_0000007,soil
JCM_13242,Saccharothrix algeriensis,MEO_0000007,soil
JCM_13243,Streptomyces africanus,MEO_0000651,garden soil
JCM_13244,Streptomyces yatensis,MEO_0000007,soil
JCM_13290,Rhodotorula arctica,MEO_0000007,soil
JCM_13291,Rhodotorula arctica,MEO_0000007,soil
JCM_13292,Rhodotorula arctica,MEO_0000007,soil
JCM_1333,Arthrobacter nicotianae,MEO_0000088,farm
JCM_1334,Arthrobacter ramosus,MEO_0000193,beech forest soil
JCM_13340,Paenibacillus macerans,MEO_0000018,food product
JCM_13341,Paenibacillus sp.,MEO_0000018,food product
JCM_13342,Paenibacillus sp.,MEO_0000018,food product
JCM_13343,Paenibacillus sp.,MEO_0000018,food product
JCM_13344,Syntrophomonas erecta subsp. sporosyntropha,MEO_0000688,river sediment
JCM_13345,Bacteroides finegoldii,MEO_0000054,feces
JCM_13345,Bacteroides finegoldii,MEO_0000627,feces
JCM_13346,Bacteroides finegoldii,MEO_0000054,feces
JCM_13346,Bacteroides finegoldii,MEO_0000627,feces
JCM_1335,Arthrobacter sp.,MEO_0000356,oil brine
JCM_1335,Arthrobacter tumescens,MEO_0000356,oil brine
JCM_1336,Arthrobacter sp.,MEO_0000356,oil brine
JCM_1336,Arthrobacter tumescens,MEO_0000356,oil brine
JCM_1337,Arthrobacter ureafaciens,MEO_0000007,soil
JCM_1338,Brevibacterium sulfureum,MEO_0000356,oil brine
JCM_1338,Arthrobacter sulfureus,MEO_0000356,oil brine
JCM_13391,Mycobacterium malmoense,MEO_0000506,lung
JCM_13392,Mycobacterium murale,MEO_0000067,man-made structure
JCM_13393,Mycobacterium wolinskyi,MEO_0000547,face
JCM_13394,Nocardia elegans,MEO_0000403,sputum
JCM_13395,Propionibacterium innocuum,MEO_0000586,skin
JCM_13397,Tuberibacillus calidus,MEO_0000342,compost
JCM_13398,Flectobacillus lacus,MEO_0000027,pond
JCM_13399,Pedobacter roseus,MEO_0000027,pond
JCM_13440,Sulfurivirga caldicuralii,MEO_0000144,hydrothermal fluid
JCM_13441,Dasania marina,MEO_0000040,marine sediment
JCM_13446,Bacteroides goldsteinii,MEO_0000484,intestine
JCM_13447,Prevotella baroniae,MEO_0000467,oral cavity
JCM_13448,Mitsuokella dentalis,MEO_0000796,root canal of tooth
JCM_13449,Bacteroides denticola,MEO_0000467,oral cavity
JCM_13494,Metascardovia criceti,MEO_0000048,dental plaque
JCM_13495,Bifidobacterium tsurumiense,MEO_0000048,dental plaque
JCM_13496,Bifidobacterium tsurumiense,MEO_0000048,dental plaque
JCM_13497,Bifidobacterium tsurumiense,MEO_0000048,dental plaque
JCM_13498,Prolixibacter bellariivorans,MEO_0000423,small artifact
JCM_1381,Clostridium absonum,MEO_0000007,soil
JCM_1385,Clostridium barati,MEO_0000483,liver
JCM_1386,Clostridium bifermentans,MEO_0000007,soil
JCM_1386,Paraclostridium bifermentans,MEO_0000007,soil
JCM_1389,Clostridium barkeri,MEO_0000082,river
JCM_1432,Clostridium spiroforme,MEO_0000054,feces
JCM_1432,Clostridium spiroforme,MEO_0000627,feces
JCM_1433,Clostridium sticklandii,MEO_0000739,muddy water
JCM_1438,Torula candida,MEO_0000006,air
JCM_1438,Torulopsis candida,MEO_0000006,air
JCM_14762,Sideroxydans lithotrophicus,MEO_0000366,ground water
